00:19:13.672 INFO  45 CenterImport - 立委-A05-2-(南投縣).xls
00:19:13.798 INFO  85 CenterImport - 選區:第01選區
00:19:39.063 INFO  85 CenterImport - 選區:第02選區
00:19:57.541 INFO  45 CenterImport - 立委-A05-2-(嘉義市).xls
00:19:57.556 INFO  85 CenterImport - 選區:第01選區
00:20:16.269 INFO  45 CenterImport - 立委-A05-2-(嘉義縣).xls
00:20:16.285 INFO  85 CenterImport - 選區:第01選區
00:20:34.764 INFO  85 CenterImport - 選區:第02選區
00:20:53.802 INFO  45 CenterImport - 立委-A05-2-(基隆市).xls
00:20:53.818 INFO  85 CenterImport - 選區:第01選區
00:21:34.502 INFO  45 CenterImport - 立委-A05-2-(宜蘭縣).xls
00:21:34.518 INFO  85 CenterImport - 選區:第01選區
00:22:01.534 INFO  45 CenterImport - 立委-A05-2-(屏東縣).xls
00:22:01.582 INFO  85 CenterImport - 選區:第01選區
00:22:33.292 INFO  85 CenterImport - 選區:第02選區
00:22:46.662 INFO  85 CenterImport - 選區:第03選區
00:23:13.055 INFO  45 CenterImport - 立委-A05-2-(彰化縣).xls
00:23:13.118 INFO  85 CenterImport - 選區:第01選區
00:23:40.690 INFO  85 CenterImport - 選區:第02選區
00:23:55.679 INFO  85 CenterImport - 選區:第03選區
00:24:15.059 INFO  85 CenterImport - 選區:第04選區
00:24:33.097 INFO  45 CenterImport - 立委-A05-2-(新北市).xls
00:24:33.176 INFO  85 CenterImport - 選區:第01選區
00:25:04.015 INFO  85 CenterImport - 選區:第02選區
00:25:34.735 INFO  85 CenterImport - 選區:第03選區
00:26:02.364 INFO  85 CenterImport - 選區:第04選區
00:26:27.156 INFO  85 CenterImport - 選區:第05選區
00:26:50.786 INFO  85 CenterImport - 選區:第06選區
00:27:08.133 INFO  85 CenterImport - 選區:第07選區
00:27:26.367 INFO  85 CenterImport - 選區:第08選區
00:27:57.378 INFO  85 CenterImport - 選區:第09選區
00:28:21.548 INFO  85 CenterImport - 選區:第10選區
00:28:57.943 INFO  85 CenterImport - 選區:第11選區
00:29:16.665 INFO  85 CenterImport - 選區:第12選區
00:29:50.067 INFO  45 CenterImport - 立委-A05-2-(新竹市).xls
00:29:50.085 INFO  85 CenterImport - 選區:第01選區
00:30:42.540 INFO  45 CenterImport - 立委-A05-2-(新竹縣).xls
00:30:42.556 INFO  85 CenterImport - 選區:第01選區
00:31:31.357 INFO  45 CenterImport - 立委-A05-2-(桃園縣).xls
00:31:31.389 INFO  85 CenterImport - 選區:第01選區
00:31:45.020 INFO  85 CenterImport - 選區:第02選區
